CountryName,CountryCode,Year,CO2_emissions,InternetUsers,GDP_per_capita,LiteracyRate,Physicians,HealthExpenditure,Unemployment,InfantMortality,LifeExpectancy,Population,Region,IncomeGroup,Region_Encoded,IncomeGroup_Encoded
Afghanistan,AFG,2006,0.0637284718722302,2.107123645,269.229693018123,,0.168,10.62276563,2.82500004768372,75.8,59.11,25893450.0,South Asia,Low income,5,1
Albania,ALB,2006,1.30257636722163,9.609991316,2972.74292399799,,,5.93267196,16.225250840187073,14.3,75.418,2992547.0,Europe & Central Asia,Upper middle income,1,4
Algeria,DZA,2006,2.99218746923841,7.375984956,3464.61007870202,72.648681640625,,3.35510349,12.2700004577637,27.5,73.225,33777915.0,Middle East & North Africa,Upper middle income,3,4
American Samoa,ASM,2006,2.91508151810172,13.66,8456.94799658994,,,5.46509211,6.35300016403198,22.1,,58650.0,East Asia & Pacific,Upper middle income,0,4
Andorra,AND,2006,6.74621871565977,48.936847,30637.443815953535,,3.64,8.43428174,6.35300016403198,4.1,,80991.0,Europe & Central Asia,High income,1,0
Angola,AGO,2006,1.09888389819981,1.5,2585.13352204929,,,3.36618335,16.225250840187073,96.7,53.974,20262399.0,Sub-Saharan Africa,Lower middle income,6,2
Antigua and Barbuda,ATG,2006,4.91364436717201,30.0,12812.7644376195,,,4.60802371,6.35300016403198,9.6,74.727,90301.0,Latin America & Caribbean,High income,2,0
Arab World,ARB,2006,4.26823986615523,11.6637886737172,4338.38573835633,68.5624084472656,,3.48386686589161,10.3829980300892,36.8880324950595,69.1863650750761,323773264.0,,,7,3
Argentina,ARG,2006,4.43482145227027,20.9272021,5878.76102735208,98.6108016967773,,7.56810123,10.0769996643066,14.3,74.941,39558890.0,Latin America & Caribbean,High income,2,0
Armenia,ARM,2006,1.48117796180497,5.631787777,2158.00290895457,,3.7,5.58846065,10.2810001373291,19.7,72.715,2958500.0,Europe & Central Asia,Upper middle income,1,4
Aruba,ABW,2006,14.808246413632371,28.0,24045.7494206858,,,5.46509211,6.35300016403198,22.1,74.429,100832.0,Latin America & Caribbean,High income,2,0
Australia,AUS,2006,14.808246413632371,66.0,30637.443815953535,,2.672,8.000101,4.78200006484985,4.6,81.0414634146342,20697900.0,East Asia & Pacific,High income,0,0
Austria,AUT,2006,8.72729787156076,63.6,30637.443815953535,,3.66,9.53113317,5.24300003051758,3.9,79.8804878048781,8268641.0,Europe & Central Asia,High income,1,0
Azerbaijan,AZE,2006,4.6162998626916,11.99217733,2473.08181863536,,3.63,5.74622122,6.61999988555908,41.6,69.269,8484550.0,Europe & Central Asia,Upper middle income,1,4
